"school_name","sum_AIAN","sum_Asian","sum_BlackAA","sum_Hispanic","sum_MultiRacial","sum_NHPI","sum_Other","sum_totpop","sum_white_notHL","AIAN_prop","Asian_prop","Black_prop","Hispanic_prop","MultiRacial_prop","NHPI_prop","Other_prop","White_prop","PoC_prop","sum_rentHH","sum_ownHH","rent_prop","own_prop","mean_HHInc","sum_PopPov","sum_pov","pov_rate","school_type"
"Aki Kurose",604,20959,14439,7581,4714,256,676,74489,25260,0.00810857979030461,0.281370403683765,0.193840701311603,0.101773416209105,0.0632845118071125,0.00343674905019533,0.00907516546067205,0.339110472687242,0.660889527312758,11622,15701,0.425355927240786,0.574644072759214,105147.158694572,73775,19025,0.257878685191461,"ms"
"Denny Int'l",246,7719,8013,10758,4938,434,348,66928,34472,0.003675591680612,0.115332895051399,0.119725675352618,0.160739899593593,0.0737807793449677,0.00648458044465695,0.00519961749940234,0.515060961032752,0.484939038967248,10289,16830,0.379401895350124,0.620598104649877,116814.500328711,66469,15635,0.235222434518347,"ms"
"Eckstein",539,19085,2676,7035,7969,195,571,111339,73269,0.00484107096345396,0.17141343105291,0.0240347048204133,0.0631854067307951,0.0715742013131068,0.00175140786247407,0.00512848148447534,0.658071295772371,0.341928704227629,20195,22810,0.469596558539705,0.530403441460295,140635.904444983,100732,19553,0.194109121232578,"ms"
"Hamilton Int'l",238,16199,2579,7277,7261,185,377,101125,67009,0.00235352286773795,0.160187886279357,0.0255030902348578,0.0719604449938195,0.0718022249690976,0.00182941903584672,0.00372805933250927,0.662635352286774,0.337364647713226,28749,18133,0.613220425749755,0.386779574250245,119521.825671199,93058,16405,0.176287906466935,"ms"
"Jane Addams",76,12346,4093,6311,4946,126,579,78527,50050,0.0009678199854827,0.157219809746966,0.0521222000076407,0.0803672622155437,0.0629847058973347,0.00160454366014237,0.00737326015255899,0.637360398334331,0.362639601665669,15693,18406,0.460218774744127,0.539781225255873,129168.438626205,78144,13059,0.167114557739558,"ms"
"Madison",117,5870,5539,5877,5598,76,416,75434,51941,0.00155102473685606,0.0778163692764536,0.073428427499536,0.0779091656282313,0.0742105681788053,0.00100750324787231,0.00551475461993266,0.688562186812313,0.311437813187687,14410,19989,0.418907526381581,0.581092473618419,129875.0559562,74793,11436,0.152902009546348,"ms"
"McClure",173,16896,2614,7227,6731,108,798,97101,62554,0.00178165003450016,0.174004387184478,0.026920423064644,0.0744276577996107,0.0693195744637027,0.00111224395217351,0.00821824697994871,0.644215816520942,0.355784183479058,34007,20176,0.627632283188454,0.372367716811546,149180.56635874,95116,11099,0.116689095420329,"ms"
"Meany",749,41628,12670,14371,13579,408,967,190728,106356,0.00392705842875718,0.218258462312822,0.0664296799630888,0.0753481397592383,0.0711956293779623,0.0021391720145967,0.00507004739734072,0.557631810746194,0.442368189253806,81426,29743,0.73245239230361,0.26754760769639,128893.179842498,186449,37589,0.201604728370761,"ms"
"Mercer Int'l",322,20611,9155,5492,4573,311,297,59397,18636,0.00542114921629039,0.347004057443979,0.154132363587387,0.0924625822853006,0.0769904203916023,0.00523595467784568,0.00500025253800697,0.313753219859589,0.686246780140411,13203,11709,0.529985549132948,0.470014450867052,94468.1403606243,58982,16776,0.284425757010613,"ms"
"Robert Eagle Staff",273,10808,4177,8006,6944,281,554,91912,60869,0.00297023239620507,0.117590738967708,0.0454456436591522,0.087105057011054,0.0755505265906519,0.00305727217338324,0.0060275045695883,0.662253024632257,0.337746975367743,21525,21464,0.500709483821443,0.499290516178557,125407.106014449,91110,14366,0.157677532652837,"ms"
